form	POS
.	punc

amo	d.dem
ratna	n
padārtha	n
ji	p.pers
na	case.erg
ma	neg
kāyā	v.perf.part
khe	n
.	punc

gu	cs.inan
khunu	adv.conj
chalapola	p.pers
che	p.pers
na	case.erg
pihā	n
bijyāta	v.perf.past
u	d.dem
khunu	v.ipv
nisyaṃ	post.abs
sunuṃ	p.indef
duhāṃ	post.abs
vava	cv.coin
ma	neg
du	v.impst
.	punc

thvate	p.anaphor
kha	n
fn16	fol
garbhābati	n
na	case.erg
dhāvagu	n
bacana	n
*ṅaṅāo	cv.ant
(fn2a)	fol
baniyā	n
yā	case.gen
hṛdaya	n
sa	case.loc.inan
mahāduḥkha	n
juraṃ	v.perf.past
.	punc

thvayāṃ	n
sati	adj
ṣunu	n
banijāra	n
yā	case.gen
che	p.pers
vaṅāva	cv.ant
baniyā	n
yā	case.gen
ṅhavane	post.gen
dhālaṃ	v.perf.past
||	punc

bho	interj
banijāra	n
chana	p.pers
chāna	adv.inter
ji	p.pers
kalātayāta	n
ji	p.pers
na	case.erg
bisya	v.co
ha	n
yā	case.gen
ratna	n
chāna	adv.inter
ma	neg
biyā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

tha	adv.deg
banijāla	n
na	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
chi	num
ratnadatta	n
baniyā	n
u	d.dem
ṣunu	n
ji	p.pers
na	case.erg
biyā	v.perf.part
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
||	punc

thana	p.pers
niścayanaṃ	adv.man
biya	v.n
dhuna	v.impst
dhakaṃ	v.dhak
dhāyāva	cv.ant
ma	neg
kayā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
thithi	n
kacāda	n
juyāva	cv.ant
.	punc

thana	adv.conj
baniyā	n
na	case.erg
dhāraṃ	v.perf.past
.	punc

bho	interj
chi	num
banijāla	n
.	punc

chava	adj
jiva	p.pers
kacāda	n
yāṅaṃ	v.perf.past
lvāya	v.n
mu	neg
mvāla	v.impst
.	punc

thva	d.dem
deśa	n
yā	case.gen
pāragāmika	n
rājā	n
dao	v.perf.past
.	punc

thva	d.dem
rājāyākye	n
vane	v.n
makhā	adv.man
dhakaṃ	v.dhak
dhāyāo	cv.ant
rājāyākye	n
pāraka	n
yāka	v.impst
tvaṃ	v.co
julo	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
hatāsana	adv.man
banijāla	n
na	case.erg
rasa	n
vava	cv.coin
puruṣa	n
ni	num
mha	cs.anim
boṅāva	cv.ant
dhāraṃ	v.perf.past
||	punc

bho	interj
duṣṭapāsā	n
pani	case.abs.h.pl
ji	p.pers
na	case.erg
ratna	n
cha	num
tā	cs.abs
tha	adv.deg
pakā	v.perf.part
tayā	v.perf.part
dao	v.perf.past
.	punc

āva	adv.temp
tha	adv.deg
ratna	n
cha	p.pers
pani	case.abs.h.pl
nimhayāta	v.perf.past
.	punc

ji	p.pers
chamhayāta	n
sva	num
bo	v.impst
thayāva	cv.ant
kāya	v.n
dhāsyaṃ	cv.as
dhana	n
yā	case.gen
lobha	adj
na	case.erg
aṃtara	n
juva	v.impst
tvaṃ	v.co
juro	v.perf.past
||	punc

thvanaṃ	adv.conj
li	cv.anter
rājasabhā	n
sa	case.loc.inan
pāla	n
yātanāsyaṃ	v.co
aṃtara	n
na	case.erg
dhāko	d.quant
pratīta	adj
yāṅāva	cv.ant
rājā	n
na	case.erg
punarbāra	adv.conj
ṅaṅā	v.perf.part
||	punc

aye	v.n
baniyā	n
.	punc

āva	adv.temp
vana	n
pratīta	adj
dayakaṃ	v.perf.past
dhāla	v.impst
||	punc

chana	p.pers
pratīta	adj
ma	neg
du	v.impst
||	punc

āo	cv.ant
cha	p.pers
būka	n
.	punc

va	case.ass
tyāka	n
dhakaṃ	v.dhak
t	d.dem
yā	case.gen
chināva	cv.ant
bilaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
aṃtara	n
na	case.erg
dhāraṃ	v.perf.past
bho	interj
mahārājā	n
sa	case.loc.inan
.	punc

ji	p.pers
panisena	case.erg.h.pl
satyabācā	n
jipanisye	n
na	case.erg
satyanaṃ	adv.place
tha	adv.deg
ratna	n
bio	n
khaṅā	v.perf.part
dhadhāsyaṃ	cv.as
a	d.dem
ratna	n
sa	case.loc.inan
byāṅāva	cv.ant
banijāra	n
tyāka	n
tvaṃ	v.co
julo	v.perf.past
||	punc

ratnadatta	n
baniyā	n
phuṅāva	cv.ant
choka	v.impst
tvaṃ	v.co
julo	v.perf.past
||	punc

thvanaṃ	adv.conj
li	cv.anter
antaranaṃ	adv.conj
dhālaṃ	v.perf.past
||	punc

bho	interj
chi	num
sabhāloka	n
nyehune	v.n
.	punc

āmo	d.dem
ratna	n
biyā	v.perf.part
bela	n
sa	case.loc.inan
jipanisye	n
na	case.erg
khaṅā	v.perf.part
.	punc

āma	d.dem
kha	n
chu	p.interrog
kha	n
dhāsya	v.co
ji	p.pers
panisa	case.gen.h.pl
satya	adv.man
satya	adv.man
dhāsyaṃ	cv.as
rājā	n
naṃ	case.erg
t	d.dem
yā	case.gen
chiṅāva	cv.ant
.	punc

thva	d.dem
Ratnadatta	n.prop
baniyā	n
khvayāva	cv.ant
vanaṃ	v.perf.past
||	punc

thava	p.refl
che	p.pers
vaṅā	v.perf.part
bela	n
sa	case.loc.inan
gochinam	case.erg
cha	num
thāya	n
sa	case.loc.inan
.	punc

tavadhaṅa	p.correl
dva	n
cha	num
guli	cs.inan
dasyaṃ	v.co
coṅa	v.impst
.	punc

thva	d.dem
dva	n
sa	case.loc.inan
mocāto	v.ipv
mhitāo	cv.ant
cona	v.impst
.	punc

thva	d.dem
rājā	n
.	punc

thva	d.dem
mantri	n
.	punc

thva	d.dem
māhāna	n
dhakam	v.perf.past
.	punc

thathe	v.n
dhakaṃ	v.dhak
fn17	fol
mhitāva	cv.ant
coṅa	v.impst
bela	n
sa	case.loc.inan
.	punc

thva	d.dem
ratnadatta	n
baniyā	n
khvayāva	cv.ant
vava	v.impst
khaṅāva	cv.ant
.	punc

thva	d.dem
*mocātasyenaṃ	adv.conj
(fn2b)	fol
dhālaṃ	v.perf.past
||	punc

bho	interj
chi	num
mahā	adj
puruṣa	n
chimi	n
sakaleṃ	d.quant
chu	p.interrog
dhaka	v.dhak
lvāṅāva	cv.ant
vayā	v.perf.part
.	punc

chu	p.interrog
dhaka	v.dhak
khva	n
yā	case.gen
vayā	v.perf.part
.	punc

dhaka	v.dhak
nenam	v.perf.past
.	punc

thagu	n
baniyā	n
na	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
chi	num
macāto	cs.time
khava	adj
khya	adj
.	punc

ji	p.pers
panisa	case.gen.h.pl
kha	v.impst
.	punc

chu	p.interrog
kha	n
lhāya	v.n
.	punc

thathiṃgu	adj
mahā	adj
āścarya	adj
adbhūta	n
kha	v.impst
.	punc

gathya	adv.inter
dhālasā	cv.cond
.	punc

ati	adv.deg
mūla	n
vaṅagu	n
ratna	n
cha	num
tā	cs.abs
.	punc

thva	d.dem
banijālayāta	n
bisyaṃ	v.co
ha	n
yā	case.gen
.	punc

āo	cv.ant
thva	d.dem
ratna	n
ji	p.pers
ta	case.dat
vana	n
ma	neg
biva	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thvate	p.anaphor
kha	n
ṅaṅāva	cv.ant
.	punc

thva	d.dem
mocātasyenaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
mahāpuruṣa	n
āma	d.dem
kha	n
ji	p.pers
na	case.erg
t	d.dem
yā	case.gen
chinā	n
biya	v.n
.	punc

chikara	n
pani	case.abs.h.pl
sakale	v.n
.	punc

abeka	n
juya	v.n
ma	neg
tera	v.perf.past
.	punc

ji	p.pers
na	case.erg
satyana	adv.man
pāra	n
yāya	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
pāra	n
yātaṃ	v.perf.past
||	punc

thana	p.pers
pāra	n
yāya	v.n
julasā	cv.cond
chikala	n
pani	case.abs.h.pl
svamha	p.correl
cha	num
bhi	n
na	case.erg
diśane	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

cha	num
bhi	n
na	case.erg
coṅa	v.impst
julo	v.perf.past
||	punc

thugu	p.indef
thāsa	n
ratnadatta	n
baniyā	n
cha	num
mha	cs.anim
salatāva	cv.ant
nyanaṃ	v.perf.past
||	punc

bho	interj
chi	num
baniyā	n
chana	p.pers
bisyaṃ	v.co
ha	n
yā	case.gen
ratna	n
thya	post.abs
ṅanakaṃ	adv.conj
thva	d.dem
cāna	adv.temp
jyāṅāva	cv.ant
hiva	v.np
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thama	p.refl
naṃ	case.erg
bisyaṃ	v.co
ha	n
yā	case.gen
ratna	n
thya	post.abs
ṅanakaṃ	adv.conj
.	punc

cāna	adv.temp
jyāṅāva	cv.ant
bilaṃ	v.perf.past
.	punc

thva	d.dem
ratna	n
mocātosyaṃ	v.co
kāyāva	cv.ant
cha	p.pers
bhi	n
na	case.erg
talaṃ	v.perf.past
.	punc

hana	p.pers
baniyāla	n
boṅāva	cv.ant
ṅaṅā	v.perf.part
.	punc

aye	v.n
banijāla	v.impst
.	punc

chana	p.pers
gathya	p.correl
coṅa	v.impst
ratna	n
biyā	v.perf.part
.	punc

va	case.ass
cona	v.impst
thyaṃ	post.abs
conakaṃ	adv.deg
thva	d.dem
cāna	adv.temp
jyānyāva	cv.ant
hiva	v.np
dhakaṃ	v.dhak
cā	n
bilaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
banijāla	n
na	case.erg
ciṃtalapā	v.perf.part
.	punc

hari	n
hari	adj
.	punc

biṣṇu	adj
biṣṇu	n
.	punc

gathiṃṅa	adv.inter
khyāla	n
yā	case.gen
mahimā	n
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

ji	p.pers
bālaka	n
bela	n
sa	case.loc.inan
ji	p.pers
bāju	n
na	case.erg
dhāyā	v.perf.part
ṅasyaṃ	v.co
tayā	v.perf.part
dava	v.impst
.	punc

ati	adv.deg
sundaragū	n
.	punc

rucīka	n
lvahaṃcā	n
ji	p.pers
na	case.erg
ta	case.dat
chyāṅā	v.perf.part
.	punc

tava	adj
chyāṅāva	cv.ant
ji	p.pers
bāju	n
na	case.erg
nvāka	n
||	punc

gathiṃṅa	adv.inter
ratna	n
lvahacā	n
tava	adj
chyāṅā	v.perf.part
bila	v.impst
dhakaṃ	v.dhak
nvāka	v.perf.past
.	punc

thathyaṅa	p.correl
u	d.dem
ratna	n
juyiva	v.np
dhakaṃ	v.dhak
bhālapāva	cv.ant
.	punc

lvahaṃcā	n
thya	post.abs
ṅenakaṃ	v.perf.past
jyānyāva	cv.ant
bilaṃ	v.perf.past
.	punc

hanvaṃ	adv.conj
thva	d.dem
bastuka	n
kāyāva	cv.ant
.	punc

hanvaṃ	adv.conj
aṃtara	n
pani	case.abs.h.pl
boṅāva	cv.ant
ṅana	v.perf.past
.	punc

bho	interj
chi	num
mahāpuruṣaṃ	adv.conj
chi	num
na	case.erg
khaṅāgu	n
ratna	n
gathya	adv.inter
cona	v.impst
.	punc

*dhakaṃ	n
(fn3a)	fol
ṅaṅā	v.perf.part
.	punc

chi	num
na	case.erg
khaṅā	v.perf.part
thya	post.abs
ṅanakaṃ	adv.conj
.	punc

thva	d.dem
cāna	adv.temp
jyāṅāva	cv.ant
hiva	v.np
dhaka	v.dhak
dhāyāva	cv.ant
cā	n
bilaṃ	v.perf.past
.	punc

thva	d.dem
antaranaṃ	adv.conj
mana	n
naṃ	case.erg
ciṃtarapalaṃ	v.perf.past
.	punc

hari	n
hari	adj
.	punc

biṣṇu	n
biṣṇu	n
thamaṃ	p.refl
gva	p.indef
bela	n
saṃ	case.erg.h
fn18	fol
svaya	v.n
nāpaṃ	post.ass
ma	neg
nanā	n
ratna	n
.	punc

dhana	n
yā	case.gen
lobha	adj
na	case.erg
antara	n
jūla	n
vayā	v.perf.part
.	punc

āva	adv.temp
gathya	adv.inter
yāya	v.n
dhakaṃ	v.dhak
bhālapāva	cv.ant
conaṃ	v.perf.past
.	punc

hanaṃ	adv.conj
bhālapā	v.perf.part
.	punc

ja	p.pers
bālakabela	n
sa	case.loc.inan
ji	p.pers
māmanaṃ	v.perf.past
madhi	n
chuṅaṃ	v.perf.past
coṅa	v.impst
bela	n
sa	case.loc.inan
.	punc

ji	p.pers
na	case.erg
māma	n
yāke	case.loc.an
mādhi	n
na	case.erg
phoṅā	v.perf.part
māmanaṃ	v.perf.past
ji	p.pers
ta	case.dat
mādhi	n
ma	neg
biyāva	cv.ant
tamanaṃ	v.perf.past
madhi	n
toka	n
pusyaṃ	v.co
tava	adj
.	punc

kapanaca	n
chyānāva	cv.ant
biyā	v.perf.part
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
māmanaṃ	v.perf.past
nvāka	v.perf.past
.	punc

hari	n
hari	n
ratna	n
na	case.erg
uti	adj
ṅeṅa	v.ipv
kapanacā	cv.cond
.	punc

tava	adj
chyānā	d.quant
biyā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thvathyaṃ	v.co
juyi	v.np
bhālapāva	cv.ant
kapanacā	n
thya	post.abs
ṅanakaṃ	adv.conj
jyānyāva	cv.ant
bilaṃ	v.perf.past
||	punc

thva	d.dem
cha	num
bhi	n
na	case.erg
tayāva	cv.ant
hano	interj
meba	adj
pāsā	n
salatāva	cv.ant
ṅanaṃ	v.perf.past
.	punc

aye	n
haya	v.n
vayā	v.perf.part
ratna	n
gathya	adv.inter
ṅana	n
.	punc

chana	p.pers
khanā	n
bela	n
sa	case.loc.inan
va	case.ass
thyaṃ	post.abs
ṅanakāva	cv.ant
.	punc

thva	d.dem
cānaṃ	adv.conj
jyāṅāva	cv.ant
hiva	v.np
dhakaṃ	v.dhak
.	punc

thvayāta	n
cā	n
bilaṃ	v.perf.past
.	punc

thvanaṃ	adv.conj
cā	n
jukva	v.rel.part
kāyavaṃ	v.co
cintalapā	v.perf.part
.	punc

hari	adj
hari	adj
biṣṇu	n
biṣṇu	n
śiba	n
śiba	n
.	punc

thamaṃ	p.refl
svaya	v.n
ma	neg
nanā	n
padārtha	n
.	punc

gathiṃṅa	adv.inter
āścarya	adj
mahimā	n
kha	n
ṅane	v.n
māla	v.perf.past
dhakaṃ	v.dhak
.	punc

āva	adv.temp
gathya	adv.inter
yāya	v.n
dhakāva	cv.ant
.	punc

bhālapāva	cv.ant
conaṃ	v.perf.past
||	punc

thathyaṃ	adv.conj
bhālapā	v.perf.part
ji	p.pers
bāla	n
sa	case.loc.inan
.	punc

ji	p.pers
babunaṃ	adv.conj
la	n
hisyaṃ	v.co
tayā	v.perf.part
.	punc

balaṣuni	adv.conj
cha	num
mha	cs.anim
ji	p.pers
na	case.erg
syānyāva	cv.ant
biyā	v.perf.part
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
.	punc

ji	p.pers
babu	n
na	case.erg
nvāka	n
.	punc

ratnava	cv.ant
uti	adj
ṅaṅa	v.impst
balaṣuni	v.ipv
syānyāva	cv.ant
bila	v.impst
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
balaṣuni	v.ipv
thyaṃ	post.abs
juyi	v.n
kā	v.perf.part
dhaka	v.dhak
bhālapāva	cv.ant
balaṣu	n
thyaṃ	post.abs
ṅanakaṃ	adv.conj
jyānyāva	cv.ant
bilaṃ	v.perf.past
||	punc

thva	d.dem
kāyāva	cv.ant
pyamhaṃ	p.correl
salatāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
chi	num
mahāpuruṣa	n
pani	case.abs.h.pl
svamha	n
sa	case.loc.inan
u	d.dem
ma	neg
lāka	n
.	punc

cha	p.pers
pani	case.abs.h.pl
kha	n
phasakha	n
.	punc

adharma	n
.	punc

asatya	n
.	punc

u	d.dem
ma	neg
lāka	n
sohune	v.n
dhāyāva	cv.ant
.	punc

o	p.correl
panisena	case.erg.h.pl
jyānāguli	n
kenyāva	cv.ant
.	punc

chapanisye	v.n
na	case.erg
o	p.correl
yā	case.gen
ratna	n
lita	adv.dir
biya	v.n
māla	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

vayā	v.perf.part
ratna	n
lita	adv.dir
bilaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
ratnadatta	n
baniyā	n
mahā	adj
rasanaṃ	adv.man
thava	p.refl
che	n
lihā	adv.dir
vaṅa	v.impst
tvaṃ	v.co
julo	v.perf.past
||	punc

thuguli	p.indef
prakāraṇa	n
rājā	n
naṃ	case.erg
t	d.dem
yā	case.gen
chiya	n
ma	neg
phayāguli	p.indef
thva	d.dem
(fn3b)	fol
macātosye	n
na	case.erg
|	punc
t	d.dem
yā	case.gen
chiṅā	v.perf.part
dhakaṃ	v.dhak
dhāyā	v.perf.part
kha	n
rājā	n
na	case.erg
nyanāva	cv.ant
rājā	n
yā	case.gen
mana	n
sa	case.loc.inan
ati	adv.deg
kautuka	adj
juram	v.perf.past
.	punc

su	p.interrog
mocātasyanam	adv.conj
t	d.dem
yā	case.gen
chita	n
dhakaṃ	v.dhak
dhayāva	cv.ant
mana	n
naṃ	case.erg
cintarapalaṃ	v.perf.past
||	punc

ati	adv.deg
kautuka	n
.	punc

aho	interj
āścarya	adj
dhaka	v.dhak
rājā	n
naṃ	case.erg
ciṃtalapāva	cv.ant
.	punc

thva	d.dem
dva	n
sa	case.loc.inan
cha	p.pers
tā	cs.abs
lakṣaṇa	n
dayīva	v.ipv
dhaka	v.dhak
.	punc

kulinaṃ	adv.conj
mhuyāva	cv.ant
solaṅāsyaṃ	cv.as
bikramaditya	n
fn19	fol
rājā	n
yā	case.gen
siṃhāsana	n
lulaṃ	v.perf.past
||	punc

hā	interj
hā	interj
ati	adv.deg
āścarya	adj
dhaka	v.dhak
cintalapalaṃ	v.perf.past
.	punc

thathiṃgū	p.correl
ratna	n
yā	case.gen
siṃhāsana	n
yā	case.gen
.	punc

prabhāba	n
na	case.erg
khaṃ	n
thva	d.dem
mocātosye	n
na	case.erg
thvate	p.anaphor
parākrama	n
dayakaṃ	v.perf.past
dhāla	n
dhaka	v.dhak
kautuka	n
cāyāva	cv.ant
conaṃ	v.perf.past
.	punc

thanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
rājā	n
naṃ	case.erg
anega	d.quant
siṃdūra	n
jātrā	n
yāṅāva	cv.ant
.	punc

nānā	d.quant
bādya	n
thāṅāva	cv.ant
.	punc

pyāṣu	n
na	case.erg
huyakāva	cv.ant
.	punc

la	n
svasyaṃ	v.co
yanyāva	cv.ant
.	punc

thava	p.refl
rājyaghala	n
sa	case.loc.inan
duta	adv.dir
yanaṃ	v.perf.past
||	punc

thvanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
bhojadeba	n
rājā	n
naṃ	case.erg
.	punc

bhiṃgu	adv.conj
nakṣetra	n
.	punc

thithibāra	n
.	punc

soyāva	cv.ant
.	punc

bhiṃgū	p.correl
dīna	n
sa	case.loc.inan
.	punc

samasta	d.quant
prajāpani	n
munakāva	cv.ant
.	punc

thva	d.dem
siṃhāsana	n
sa	case.loc.inan
dane	post.gen
tenaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
siṃhāsana	n
sa	case.loc.inan
coṅa	v.impst
putrikā	n
cha	num
mha	cs.anim
sena	case.erg.h
.	punc

nona	n
vāka	n
||	punc

bho	interj
rājā	n
bhojadeba	n
chalapolanaṃ	adv.place
jaguli	p.indef
bacana	n
ma	neg
ṅasyaṃ	cv.as
.	punc

thva	d.dem
siṃhāsana	n
sa	case.loc.inan
dane	v.n
ma	neg
du	v.impst
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
putrikānaṃ	adv.conj
pūrba	n
kathā	n
kanaṃ	v.perf.past
||	punc

1	num.ar
||	punc

I	n.prop
bho	interj
mahārājā	n
.	punc

bhojadeba	n
.	punc

karpūra	n
dhāyā	v.perf.part
nagara	n
sa	case.loc.inan
.	punc

ratnapiṃgala	n.prop
dhāyā	v.perf.part
baniyā	n
cha	num
mha	cs.anim
dava	v.impst
.	punc

thva	d.dem
baniyā	n
yā	case.gen
ekaputrī	n
.	punc

mhyāca	n
cha	num
mha	cs.anim
dava	v.impst
.	punc

thva	d.dem
baniyānaṃ	adv.conj
aṃgīkāra	n
yātaṃ	v.perf.past
.	punc

gomha	p.correl
puruṣanaṃ	v.perf.past
.	punc

thva	d.dem
tuṃthī	n
sa	case.loc.inan
cha	num
thala	n
dāma	n
thaṅāva	cv.ant
biya	v.n
phata	v.perf.past
.	punc

omhayāta	n
ji	p.pers
mhyāca	n
biya	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
kha	n
vāta	n
tāyāva	cv.ant
.	punc

rājā	n
bikramādita	n
anega	d.quant
rakṣa	num.skt
koṭi	num.skt
pramānanaṃ	v.perf.past
.	punc

dāma	n
yanyāva	cv.ant
tuṃthī	n
sa	case.loc.inan
thanyāva	cv.ant
bilaṃ	v.perf.past
.	punc

rājya	n
dakvaṃ	d.quant
milaṃ	v.perf.past
.	punc

bastubhāva	cv.ant
dakvaṃ	d.quant
milaṃ	v.perf.past
||	punc

thana	adv.conj
baniyānaṃ	adv.conj
mhyāca	n
bibahāra	n
yāṅāva	cv.ant
bilaṃ	v.perf.past
.	punc

tisā	n
mālakva	cv.ant
biyāva	cv.ant
chotaṃ	v.perf.past
||	punc

thva	d.dem
bela	n
sa	case.loc.inan
thva	d.dem
baniyā	n
yā	case.gen
mhyācava	v.impst
.	punc

bikramādityava	cv.ant
samadhāra	n
yātaṃ	v.perf.past
.	punc

āva	adv.temp
ji	p.pers
na	case.erg
chu	p.indef
yāya	v.n
.	punc

thathiṃgū	p.correl
samasta	d.quant
rājyaṃ	cv.as
.	punc

bastubhābaṃ	n
samastaṃ	d.quant
phuto	v.perf.past
.	punc

āva	adv.temp
ji	p.pers
ga	n
na	case.erg
vane	v.n
ga	n
na	case.erg
conya	v.n
dhaka	v.dhak
dhayāva	cv.ant
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
thva	d.dem
baniyā	n
yā	case.gen
mhyaca	n
.	punc

madanābatinaṃ	adv.conj
dhālaṃ	v.perf.past
||	punc

bho	interj
chi	num
prabhu	n
thākura	adj
.	punc

amathya	adv.conj
a	n
yāsa	n
cāsya	n
bijyāya	v.n
ma	neg
teva	v.impst
.	punc

ji	p.pers
*bāju	n
(fn4a)	fol
mahā	adj
pāpa	n
sta	v.perf.past
.	punc

fn20	fol
ji	p.pers
bāju	n
yā	case.gen
kha	n
chu	p.indef
dhāya	v.n
.	punc

āva	adv.temp
chi	num
dhaṃdā	n
kāya	v.n
mu	neg
mvāva	cv.ant
.	punc

ji	p.pers
j	d.dem
yāsa	n
yā	case.gen
thukā	evid
.	punc

ji	p.pers
ta	case.dat
kapāsa	n
jukva	v.rel.part
bihuni	n
dhāyāva	cv.ant
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
rājā	n
bikramādityanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

āva	adv.temp
ji	p.pers
na	case.erg
ga	n
na	case.erg
kāyāva	cv.ant
biyā	v.perf.part
.	punc

